"age.yr.bp","temperature","temperature.rescaled"
431,-31.7352603134756,-1.73908485009435
432,-31.7375436796416,-1.73890491731118
433,-31.7398270458075,-1.73872498452801
434,-31.7421104119735,-1.73854505174483
435,-31.744402906596,-1.73836439962518
436,-31.7472686010512,-1.73813857847273
437,-31.7505363984164,-1.73788107098946
438,-31.7538016262303,-1.73762376599081
439,-31.7570668540443,-1.73736646099215
440,-31.7603320818583,-1.7371091559935
441,-31.7635973096722,-1.73685185099484
442,-31.7668625374862,-1.73659454599618
443,-31.7701276001645,-1.73633725401047
444,-31.7734951575237,-1.73607188528548
445,-31.7779408665291,-1.73572155654433
446,-31.7826756130816,-1.73534845119771
447,-31.7874078794561,-1.73497554129295
448,-31.7921401458305,-1.73460263138819
449,-31.796872412205,-1.73422972148343
450,-31.8016046785795,-1.73385681157867
451,-31.8063374666629,-1.73348386056244
452,-31.8105135674184,-1.73315477736809
453,-31.8079684887713,-1.7333553334993
454,-31.8034351024262,-1.73371257135035
455,-31.7989198611472,-1.73406837934214
456,-31.7944046198681,-1.73442418733393
457,-31.7898893785891,-1.73477999532572
458,-31.7853741373101,-1.73513580331751
459,-31.7808589803374,-1.73549160466584
460,-31.7762565741107,-1.73585428139024
461,-31.7706221683203,-1.73629828127536
462,-31.7646885943325,-1.73676585607686
463,-31.7587577231389,-1.737233217894
464,-31.7528268519453,-1.73770057971114
465,-31.7468959807517,-1.73816794152827
466,-31.7409651095581,-1.73863530334541
467,-31.735034249379,-1.73910266429458
468,-31.7290788079739,-1.73957196228236
469,-31.7227252297084,-1.74007263407013
470,-31.7162248698482,-1.74058487247442
471,-31.7097259791375,-1.74109699510746
472,-31.7032270884269,-1.7416091177405
473,-31.6967281977163,-1.74212124037355
474,-31.6902293070056,-1.74263336300659
475,-31.683730416295,-1.74314548563963
476,-31.6772312210006,-1.74365763227434
477,-31.6710634443929,-1.74414366260429
478,-31.6689477351496,-1.74431038376281
479,-31.668045237902,-1.74438150194087
480,-31.6671316042063,-1.74445349768825
481,-31.6662179705106,-1.74452549343564
482,-31.6653043368149,-1.74459748918302
483,-31.6643907031192,-1.7446694849304
484,-31.6634770694235,-1.74474148067779
485,-31.6625664639431,-1.74481323779713
486,-31.6613188329877,-1.74491155304482
487,-31.6588881662202,-1.74510309334307
488,-31.6563532083042,-1.74530285194502
489,-31.6538183940774,-1.74550259922404
490,-31.6512835798506,-1.74570234650306
491,-31.6487487656238,-1.74590209378208
492,-31.646213951397,-1.7461018410611
493,-31.6436709639106,-1.74630223240561
494,-31.6421716880426,-1.74642037766137
495,-31.6450178313708,-1.74619609716795
496,-31.6483429308784,-1.7459340741873
497,-31.6516668732842,-1.74567214238806
498,-31.6549908156899,-1.74541021058882
499,-31.6583147580957,-1.74514827878957
500,-31.6616387005014,-1.74488634699033
501,-31.66496329036,-1.7446243641708
502,-31.6678493083393,-1.74439694149325
503,-31.6660192528393,-1.74454115269528
504,-31.6629073273607,-1.74478637723296
505,-31.6598065140166,-1.74503072611726
506,-31.6567057006725,-1.74527507500157
507,-31.6536048873284,-1.74551942388587
508,-31.6505040739843,-1.74576377277017
509,-31.6474032606402,-1.74600812165447
510,-31.6443000455251,-1.74625265980204
511,-31.6418978713859,-1.74644195483714
512,-31.6403174497278,-1.74656649450659
513,-31.6387421898042,-1.74669062742338
514,-31.6371669298805,-1.74681476034018
515,-31.6355916699568,-1.74693889325697
516,-31.6340164100332,-1.74706302617376
517,-31.6324411501095,-1.74718715909055
518,-31.6308658901859,-1.74731129200735
519,-31.6292962164862,-1.74743498472105
520,-31.6268983394053,-1.74762394114132
521,-31.6232990970766,-1.74790756700001
522,-31.6196799426649,-1.74819276196161
523,-31.6160607882533,-1.74847795692322
524,-31.6124416338416,-1.74876315188482
525,-31.60882247943,-1.74904834684642
526,-31.6052033250183,-1.74933354180802
527,-31.6015841706066,-1.74961873676963
528,-31.597965016195,-1.74990393173123
529,-31.5943427371225,-1.75018937292094
530,-31.591265313453,-1.75043187866272
531,-31.5912078689407,-1.75043640537908
532,-31.5916087429159,-1.75040481589023
533,-31.5920075718627,-1.75037338755277
534,-31.5924064008095,-1.7503419592153
535,-31.5928052297564,-1.75031053087784
536,-31.5932040587032,-1.75027910254038
537,-31.5936023754173,-1.75024771456765
538,-31.5945863725789,-1.75017017407039
